Date,Location,Time,Temperature (°C),Humidity (%),Solar Irradiance (W/m²),Cloud Cover (%),Energy Generated (kWh)
2023-01-04,Delhi,00:00:00,31,95,536,23,336
2023-01-04,Ahmedabad,01:00:00,40,83,367,63,434
2023-01-04,Goa,02:00:00,29,68,1160,19,237
2023-01-04,Pune,03:00:00,29,68,1152,97,217
2023-01-04,Hyderabad,04:00:00,42,59,527,26,205
2023-01-04,Hyderabad,05:00:00,22,77,445,57,135
2023-01-04,Mumbai,06:00:00,39,60,790,43,145
2023-01-04,Hyderabad,07:00:00,29,54,825,92,203
2023-01-04,Jaipur,08:00:00,28,97,500,64,489
2023-01-04,Hyderabad,09:00:00,39,80,928,45,463
2023-01-04,Goa,10:00:00,38,42,399,99,459
2023-01-04,Mumbai,11:00:00,33,92,1092,53,169
2023-01-04,Goa,12:00:00,21,71,699,38,306
2023-01-04,Goa,13:00:00,24,83,1063,6,320
2023-01-04,Chennai,14:00:00,39,96,953,53,188
2023-01-04,Mumbai,15:00:00,27,85,212,42,102
2023-01-04,Goa,16:00:00,26,48,565,19,397
2023-01-04,Chennai,17:00:00,25,75,918,83,465
2023-01-04,Chennai,18:00:00,30,44,973,24,330
2023-01-04,Mumbai,19:00:00,31,61,296,42,217
2023-01-04,Ahmedabad,20:00:00,37,78,270,84,410
2023-01-04,Pune,21:00:00,38,50,1192,72,494
2023-01-04,Jaipur,22:00:00,29,94,1014,26,213
2023-01-04,Pune,23:00:00,44,99,1060,91,301
2023-01-05,Hyderabad,00:00:00,44,56,941,24,129
2023-01-05,Jaipur,01:00:00,40,52,556,35,463
2023-01-05,Hyderabad,02:00:00,33,76,1011,97,346
2023-01-05,Goa,03:00:00,22,41,743,65,180
2023-01-05,Delhi,04:00:00,37,95,449,8,345
2023-01-05,Mumbai,05:00:00,43,34,453,82,283
2023-01-05,Jaipur,06:00:00,34,38,970,78,372
2023-01-05,Jaipur,07:00:00,25,49,381,52,132
2023-01-05,Goa,08:00:00,29,92,1051,20,201
2023-01-05,Ahmedabad,09:00:00,31,59,1173,49,376
2023-01-05,Chennai,10:00:00,26,45,1187,15,210
2023-01-05,Goa,11:00:00,36,34,365,65,305
2023-01-05,Kolkata,12:00:00,20,58,203,25,365
2023-01-05,Chennai,13:00:00,37,76,662,43,314
2023-01-05,Mumbai,14:00:00,34,51,344,28,202
2023-01-05,Chennai,15:00:00,38,86,364,96,394
2023-01-05,Ahmedabad,16:00:00,20,64,543,97,177
2023-01-05,Chennai,17:00:00,24,89,1197,45,274
2023-01-05,Mumbai,18:00:00,34,99,1073,90,441
2023-01-05,Ahmedabad,19:00:00,22,89,304,70,151
2023-01-05,Pune,20:00:00,20,87,747,48,396
2023-01-05,Jaipur,21:00:00,27,32,513,14,274
2023-01-05,Jaipur,22:00:00,31,63,368,16,442
2023-01-05,Hyderabad,23:00:00,41,74,719,8,298
2023-01-06,Pune,00:00:00,44,79,1162,76,187
2023-01-06,Pune,01:00:00,38,31,1125,31,270
2023-01-06,Chennai,02:00:00,44,44,797,65,136
2023-01-06,Jaipur,03:00:00,44,66,635,58,222
2023-01-06,Mumbai,04:00:00,31,44,808,31,300
2023-01-06,Bangalore,05:00:00,32,89,711,83,163
2023-01-06,Bangalore,06:00:00,20,93,608,42,287
2023-01-06,Ahmedabad,07:00:00,38,81,635,82,314
2023-01-06,Jaipur,08:00:00,25,52,514,90,474
2023-01-06,Jaipur,09:00:00,27,66,741,99,342
2023-01-06,Bangalore,10:00:00,23,70,812,58,249
2023-01-06,Jaipur,11:00:00,24,86,778,29,223
2023-01-06,Chennai,12:00:00,44,54,1099,10,297
2023-01-06,Kolkata,13:00:00,41,66,1060,79,135
2023-01-06,Delhi,14:00:00,26,69,1152,25,401
2023-01-06,Pune,15:00:00,42,75,262,93,377
2023-01-06,Hyderabad,16:00:00,23,89,231,1,134
2023-01-06,Ahmedabad,17:00:00,39,48,798,33,212
2023-01-06,Kolkata,18:00:00,23,38,410,40,274
2023-01-06,Bangalore,19:00:00,34,98,662,85,132
2023-01-06,Pune,20:00:00,40,34,762,30,312
2023-01-06,Jaipur,21:00:00,24,55,774,62,302
2023-01-06,Hyderabad,22:00:00,43,48,279,54,496
2023-01-06,Jaipur,23:00:00,28,59,542,60,353
2023-01-07,Mumbai,00:00:00,21,77,431,84,155
2023-01-07,Mumbai,01:00:00,26,45,1077,35,422
2023-01-07,Hyderabad,02:00:00,36,47,812,39,112
2023-01-07,Hyderabad,03:00:00,35,85,328,22,149
2023-01-07,Bangalore,04:00:00,36,50,218,25,347
2023-01-07,Hyderabad,05:00:00,39,60,556,17,332
2023-01-07,Chennai,06:00:00,42,30,618,78,127
2023-01-07,Jaipur,07:00:00,21,32,1158,33,203
2023-01-07,Kolkata,08:00:00,30,54,805,85,453
2023-01-07,Goa,09:00:00,21,37,280,27,195
2023-01-07,Hyderabad,10:00:00,20,94,814,48,442
2023-01-07,Ahmedabad,11:00:00,21,91,1080,63,443
2023-01-07,Mumbai,12:00:00,42,36,865,70,292
2023-01-07,Chennai,13:00:00,28,36,980,62,224
2023-01-07,Pune,14:00:00,41,37,317,61,180
2023-01-07,Goa,15:00:00,21,48,1053,41,106
2023-01-07,Kolkata,16:00:00,34,46,693,23,429
2023-01-07,Goa,17:00:00,29,40,990,34,182
2023-01-07,Hyderabad,18:00:00,34,78,691,76,123
2023-01-07,Bangalore,19:00:00,29,40,1074,54,492
2023-01-07,Mumbai,20:00:00,44,70,424,48,213
2023-01-07,Mumbai,21:00:00,42,91,1186,76,114
2023-01-07,Pune,22:00:00,36,81,618,94,212
2023-01-07,Bangalore,23:00:00,28,95,979,58,477
2023-01-08,Jaipur,00:00:00,37,97,336,82,441
2023-01-08,Delhi,01:00:00,23,96,425,92,349
2023-01-08,Chennai,02:00:00,28,69,533,21,244
2023-01-08,Mumbai,03:00:00,35,34,428,84,118
2023-01-08,Ahmedabad,04:00:00,23,51,522,60,108
2023-01-08,Mumbai,05:00:00,35,66,307,79,419
2023-01-08,Goa,06:00:00,38,40,1011,29,284
2023-01-08,Mumbai,07:00:00,20,73,644,68,137
2023-01-08,Mumbai,08:00:00,42,82,1116,59,310
2023-01-08,Delhi,09:00:00,25,90,206,5,491
2023-01-08,Delhi,10:00:00,29,96,327,84,233
2023-01-08,Kolkata,11:00:00,35,42,552,10,201
2023-01-08,Jaipur,12:00:00,23,40,1194,23,248
2023-01-08,Ahmedabad,13:00:00,41,40,466,91,192
2023-01-08,Mumbai,14:00:00,41,36,884,78,389
2023-01-08,Mumbai,15:00:00,32,46,1127,50,239
2023-01-08,Chennai,16:00:00,35,77,413,18,394
2023-01-08,Delhi,17:00:00,39,43,446,49,451
2023-01-08,Ahmedabad,18:00:00,25,92,817,80,361
2023-01-08,Pune,19:00:00,30,93,794,2,180
2023-01-08,Kolkata,20:00:00,43,94,1003,2,131
2023-01-08,Jaipur,21:00:00,22,63,573,91,287
2023-01-08,Bangalore,22:00:00,39,38,620,30,235
2023-01-08,Jaipur,23:00:00,29,66,914,46,265
2023-01-09,Goa,00:00:00,20,59,240,7,246
2023-01-09,Mumbai,01:00:00,39,70,916,16,344
2023-01-09,Kolkata,02:00:00,30,74,547,98,282
2023-01-09,Goa,03:00:00,31,76,760,99,108
2023-01-09,Ahmedabad,04:00:00,33,36,342,90,255
2023-01-09,Bangalore,05:00:00,44,43,340,44,417
2023-01-09,Delhi,06:00:00,27,77,764,96,275
2023-01-09,Kolkata,07:00:00,30,35,306,59,213
2023-01-09,Kolkata,08:00:00,23,63,232,74,342
2023-01-09,Mumbai,09:00:00,26,75,399,20,266
2023-01-09,Hyderabad,10:00:00,29,88,318,69,322
2023-01-09,Kolkata,11:00:00,38,99,999,20,290
2023-01-09,Chennai,12:00:00,44,37,428,57,374
2023-01-09,Bangalore,13:00:00,23,53,829,54,388
2023-01-09,Bangalore,14:00:00,21,96,887,27,163
2023-01-09,Chennai,15:00:00,40,33,1163,80,381
2023-01-09,Pune,16:00:00,37,30,384,81,272
2023-01-09,Chennai,17:00:00,33,63,1029,74,356
2023-01-09,Chennai,18:00:00,35,38,1049,45,302
2023-01-09,Bangalore,19:00:00,41,92,414,43,176
2023-01-09,Jaipur,20:00:00,30,39,932,88,202
2023-01-09,Bangalore,21:00:00,29,39,329,93,325
2023-01-09,Hyderabad,22:00:00,36,79,1044,24,325
2023-01-09,Mumbai,23:00:00,33,73,471,70,326
2023-01-10,Goa,00:00:00,41,77,957,48,195
2023-01-10,Jaipur,01:00:00,23,35,834,45,175
2023-01-10,Delhi,02:00:00,38,53,207,90,132
2023-01-10,Goa,03:00:00,21,87,602,89,181
2023-01-10,Mumbai,04:00:00,26,93,1127,62,168
2023-01-10,Hyderabad,05:00:00,28,85,778,76,438
2023-01-10,Hyderabad,06:00:00,38,41,826,87,318
2023-01-10,Delhi,07:00:00,35,64,568,11,461
2023-01-10,Jaipur,08:00:00,41,35,999,77,457
2023-01-10,Pune,09:00:00,44,94,816,56,469
2023-01-10,Chennai,10:00:00,35,89,1180,72,498
2023-01-10,Jaipur,11:00:00,37,97,736,63,401
2023-01-10,Pune,12:00:00,42,58,252,30,219
2023-01-10,Hyderabad,13:00:00,40,67,446,3,147
2023-01-10,Bangalore,14:00:00,40,51,536,53,167
2023-01-10,Mumbai,15:00:00,30,37,480,82,438
2023-01-10,Delhi,16:00:00,26,92,232,64,184
2023-01-10,Mumbai,17:00:00,28,42,998,92,481
2023-01-10,Ahmedabad,18:00:00,23,56,747,5,476
2023-01-10,Ahmedabad,19:00:00,44,47,542,64,484
2023-01-10,Jaipur,20:00:00,32,47,1090,88,375
2023-01-10,Hyderabad,21:00:00,44,91,438,90,355
2023-01-10,Hyderabad,22:00:00,23,43,691,21,304
2023-01-10,Chennai,23:00:00,38,40,928,16,332
2023-01-11,Chennai,00:00:00,21,46,376,58,164
2023-01-11,Chennai,01:00:00,28,80,243,28,498
2023-01-11,Bangalore,02:00:00,31,43,503,66,416
2023-01-11,Goa,03:00:00,21,86,869,16,178
2023-01-11,Kolkata,04:00:00,25,35,468,1,113
2023-01-11,Goa,05:00:00,24,86,882,31,424
2023-01-11,Mumbai,06:00:00,24,33,932,21,477
2023-01-11,Goa,07:00:00,39,40,599,96,404
2023-01-11,Bangalore,08:00:00,41,40,941,57,489
2023-01-11,Mumbai,09:00:00,24,37,802,52,268
2023-01-11,Goa,10:00:00,23,88,1121,85,258
2023-01-11,Bangalore,11:00:00,28,50,1170,46,215
2023-01-11,Kolkata,12:00:00,41,94,630,3,445
2023-01-11,Goa,13:00:00,29,53,620,37,291
2023-01-11,Bangalore,14:00:00,35,59,330,12,444
2023-01-11,Chennai,15:00:00,29,86,609,60,282
2023-01-11,Hyderabad,16:00:00,29,46,937,86,472
2023-01-11,Chennai,17:00:00,38,88,424,63,477
2023-01-11,Hyderabad,18:00:00,29,60,342,76,330
2023-01-11,Delhi,19:00:00,25,93,777,83,267
2023-01-11,Delhi,20:00:00,36,77,739,32,114
2023-01-11,Delhi,21:00:00,24,52,324,97,292
2023-01-11,Kolkata,22:00:00,25,99,411,37,332
2023-01-11,Chennai,23:00:00,43,59,1133,28,362
2023-01-12,Hyderabad,00:00:00,34,84,627,60,153
2023-01-12,Bangalore,01:00:00,44,36,636,31,279
2023-01-12,Mumbai,02:00:00,38,41,791,10,103
2023-01-12,Bangalore,03:00:00,37,89,437,17,356
2023-01-12,Mumbai,04:00:00,23,81,843,44,460
2023-01-12,Ahmedabad,05:00:00,27,56,527,20,421
2023-01-12,Bangalore,06:00:00,35,41,1011,11,339
2023-01-12,Goa,07:00:00,43,42,318,19,262
2023-01-12,Goa,08:00:00,38,91,245,6,436
2023-01-12,Jaipur,09:00:00,39,58,283,90,237
2023-01-12,Chennai,10:00:00,22,64,993,70,423
2023-01-12,Mumbai,11:00:00,29,89,551,1,328
2023-01-12,Mumbai,12:00:00,21,58,212,42,201
2023-01-12,Chennai,13:00:00,23,60,836,96,292
2023-01-12,Kolkata,14:00:00,25,90,1036,20,406
2023-01-12,Jaipur,15:00:00,30,31,371,28,129
2023-01-12,Kolkata,16:00:00,33,62,433,31,394
2023-01-12,Kolkata,17:00:00,35,91,380,44,346
2023-01-12,Kolkata,18:00:00,40,88,250,75,493
2023-01-12,Chennai,19:00:00,38,69,980,76,320
2023-01-12,Kolkata,20:00:00,21,78,880,58,271
2023-01-12,Goa,21:00:00,44,61,594,2,259
2023-01-12,Delhi,22:00:00,36,67,1132,38,271
2023-01-12,Ahmedabad,23:00:00,28,42,1027,50,162
2023-01-13,Mumbai,00:00:00,36,83,999,7,160
2023-01-13,Mumbai,01:00:00,34,42,628,45,164
2023-01-13,Ahmedabad,02:00:00,26,68,473,65,268
2023-01-13,Chennai,03:00:00,41,52,1060,5,180
2023-01-13,Bangalore,04:00:00,42,43,406,57,346
2023-01-13,Chennai,05:00:00,38,46,347,40,367
2023-01-13,Mumbai,06:00:00,22,53,499,78,479
2023-01-13,Mumbai,07:00:00,20,87,1131,53,357
2023-01-13,Ahmedabad,08:00:00,23,92,652,75,172
2023-01-13,Kolkata,09:00:00,37,63,1199,40,431
2023-01-13,Chennai,10:00:00,27,80,748,47,287
2023-01-13,Hyderabad,11:00:00,38,39,872,95,124
2023-01-13,Ahmedabad,12:00:00,42,50,1177,69,327
2023-01-13,Goa,13:00:00,42,66,582,26,217
2023-01-13,Mumbai,14:00:00,44,36,986,46,207
2023-01-13,Ahmedabad,15:00:00,25,42,1146,76,341
2023-01-13,Chennai,16:00:00,20,59,999,22,198
2023-01-13,Mumbai,17:00:00,27,60,817,73,121
2023-01-13,Bangalore,18:00:00,20,34,733,13,155
2023-01-13,Ahmedabad,19:00:00,38,61,432,60,248
2023-01-13,Jaipur,20:00:00,30,45,833,66,410
2023-01-13,Mumbai,21:00:00,40,51,328,75,139
2023-01-13,Chennai,22:00:00,43,93,1021,24,249
2023-01-13,Delhi,23:00:00,44,73,928,64,220
2023-01-14,Hyderabad,00:00:00,34,69,859,95,359
2023-01-14,Pune,01:00:00,42,66,769,23,125
2023-01-14,Kolkata,02:00:00,44,45,1130,52,211
2023-01-14,Pune,03:00:00,30,72,436,72,468
2023-01-14,Chennai,04:00:00,38,92,781,49,122
2023-01-14,Goa,05:00:00,40,44,1165,0,268
2023-01-14,Goa,06:00:00,29,73,900,38,413
2023-01-14,Delhi,07:00:00,43,38,953,73,363
2023-01-14,Kolkata,08:00:00,31,94,774,43,215
2023-01-14,Jaipur,09:00:00,20,73,684,93,406
2023-01-14,Delhi,10:00:00,43,49,440,4,330
2023-01-14,Pune,11:00:00,26,99,1156,67,288
2023-01-14,Delhi,12:00:00,36,62,896,71,356
2023-01-14,Pune,13:00:00,29,35,970,79,219
2023-01-14,Mumbai,14:00:00,25,60,940,64,385
2023-01-14,Goa,15:00:00,36,95,422,78,372
2023-01-14,Mumbai,16:00:00,37,47,298,87,457
2023-01-14,Hyderabad,17:00:00,24,57,958,14,477
2023-01-14,Kolkata,18:00:00,37,97,756,49,251
2023-01-14,Jaipur,19:00:00,36,94,1110,5,185
2023-01-14,Pune,20:00:00,41,74,472,65,424
2023-01-14,Jaipur,21:00:00,35,87,598,68,444
2023-01-14,Pune,22:00:00,27,76,716,38,426
2023-01-14,Chennai,23:00:00,43,95,1181,97,345
2023-01-15,Delhi,00:00:00,32,81,629,95,413
2023-01-15,Hyderabad,01:00:00,43,65,722,28,414
2023-01-15,Goa,02:00:00,35,30,1159,92,392
2023-01-15,Pune,03:00:00,30,68,547,87,261
2023-01-15,Jaipur,04:00:00,25,30,1109,45,199
2023-01-15,Hyderabad,05:00:00,22,43,750,30,468
2023-01-15,Bangalore,06:00:00,20,52,650,23,284
2023-01-15,Bangalore,07:00:00,37,72,1150,14,375
2023-01-15,Mumbai,08:00:00,24,51,241,75,116
2023-01-15,Goa,09:00:00,32,89,914,19,359
2023-01-15,Chennai,10:00:00,29,56,293,3,344
2023-01-15,Jaipur,11:00:00,24,85,685,57,405
2023-01-15,Delhi,12:00:00,33,31,716,76,437
2023-01-15,Delhi,13:00:00,36,68,763,60,149
2023-01-15,Jaipur,14:00:00,20,80,349,9,371
2023-01-15,Kolkata,15:00:00,44,48,916,40,334
2023-01-15,Chennai,16:00:00,21,91,1011,52,171
2023-01-15,Hyderabad,17:00:00,26,96,698,86,416
2023-01-15,Pune,18:00:00,29,92,570,70,143
2023-01-15,Kolkata,19:00:00,39,34,1180,75,405
2023-01-15,Pune,20:00:00,26,90,898,47,179
2023-01-15,Pune,21:00:00,43,36,684,14,385
2023-01-15,Kolkata,22:00:00,35,79,864,6,148
2023-01-15,Mumbai,23:00:00,24,75,582,71,197
2023-01-16,Bangalore,00:00:00,31,43,827,70,124
2023-01-16,Pune,01:00:00,36,98,860,42,313
2023-01-16,Kolkata,02:00:00,35,94,931,3,155
2023-01-16,Kolkata,03:00:00,39,94,391,50,354
2023-01-16,Ahmedabad,04:00:00,35,86,944,70,255
2023-01-16,Mumbai,05:00:00,38,91,1035,58,260
2023-01-16,Goa,06:00:00,34,49,420,40,293
2023-01-16,Ahmedabad,07:00:00,31,55,246,60,103
2023-01-16,Ahmedabad,08:00:00,40,73,326,29,367
2023-01-16,Jaipur,09:00:00,29,96,1002,17,135
2023-01-16,Bangalore,10:00:00,41,99,926,29,115
2023-01-16,Kolkata,11:00:00,21,91,206,6,476
2023-01-16,Bangalore,12:00:00,26,74,895,51,236
2023-01-16,Chennai,13:00:00,32,40,315,47,177
2023-01-16,Jaipur,14:00:00,22,63,763,22,410
2023-01-16,Goa,15:00:00,34,75,565,36,172
2023-01-16,Bangalore,16:00:00,20,61,245,70,419
2023-01-16,Delhi,17:00:00,22,34,592,92,344
2023-01-16,Pune,18:00:00,44,92,1153,97,445
2023-01-16,Chennai,19:00:00,29,58,222,52,327
2023-01-16,Mumbai,20:00:00,34,77,330,44,294
2023-01-16,Goa,21:00:00,41,45,326,48,345
2023-01-16,Chennai,22:00:00,25,54,644,48,493
2023-01-16,Pune,23:00:00,39,58,976,81,188
2023-01-17,Jaipur,00:00:00,34,81,508,46,359
2023-01-17,Pune,01:00:00,43,75,907,24,385
2023-01-17,Ahmedabad,02:00:00,40,54,632,90,238
2023-01-17,Pune,03:00:00,26,52,672,26,150
2023-01-17,Ahmedabad,04:00:00,44,63,1165,11,246
2023-01-17,Jaipur,05:00:00,40,96,247,22,341
2023-01-17,Hyderabad,06:00:00,24,63,1090,16,496
2023-01-17,Ahmedabad,07:00:00,23,61,281,43,486
2023-01-17,Mumbai,08:00:00,41,58,308,70,467
2023-01-17,Pune,09:00:00,37,38,462,23,433
2023-01-17,Pune,10:00:00,22,95,1066,70,331
2023-01-17,Mumbai,11:00:00,36,86,230,92,126
2023-01-17,Delhi,12:00:00,37,68,557,59,443
2023-01-17,Kolkata,13:00:00,37,36,767,52,307
2023-01-17,Hyderabad,14:00:00,43,98,679,91,237
2023-01-17,Goa,15:00:00,43,37,1066,86,473
2023-01-17,Ahmedabad,16:00:00,21,47,388,73,254
2023-01-17,Mumbai,17:00:00,32,78,1187,15,106
2023-01-17,Jaipur,18:00:00,41,45,204,97,214
2023-01-17,Ahmedabad,19:00:00,34,50,485,24,191
2023-01-17,Kolkata,20:00:00,24,39,989,65,445
2023-01-17,Jaipur,21:00:00,22,33,856,49,181
2023-01-17,Chennai,22:00:00,24,73,593,68,112
2023-01-17,Pune,23:00:00,24,37,654,77,171
2023-01-18,Chennai,00:00:00,24,84,907,94,190
2023-01-18,Ahmedabad,01:00:00,22,48,625,39,287
2023-01-18,Kolkata,02:00:00,22,93,226,5,497
2023-01-18,Hyderabad,03:00:00,39,69,326,63,204
2023-01-18,Ahmedabad,04:00:00,42,80,334,27,399
2023-01-18,Mumbai,05:00:00,37,38,734,8,183
2023-01-18,Bangalore,06:00:00,39,59,530,5,127
2023-01-18,Ahmedabad,07:00:00,23,85,828,16,378
2023-01-18,Pune,08:00:00,20,73,591,39,111
2023-01-18,Pune,09:00:00,35,88,207,98,406
2023-01-18,Ahmedabad,10:00:00,27,44,812,75,463
2023-01-18,Jaipur,11:00:00,36,97,460,44,249
2023-01-18,Bangalore,12:00:00,27,99,398,81,417
2023-01-18,Mumbai,13:00:00,26,90,797,42,125
2023-01-18,Ahmedabad,14:00:00,44,52,939,97,313
2023-01-18,Jaipur,15:00:00,27,76,585,45,413
2023-01-18,Pune,16:00:00,40,46,671,62,498
2023-01-18,Pune,17:00:00,43,86,378,0,339
2023-01-18,Kolkata,18:00:00,31,83,649,58,321
2023-01-18,Ahmedabad,19:00:00,35,81,439,62,167
2023-01-18,Bangalore,20:00:00,31,51,723,78,361
2023-01-18,Delhi,21:00:00,38,68,1014,17,210
2023-01-18,Bangalore,22:00:00,29,42,945,85,229
2023-01-18,Pune,23:00:00,26,95,382,81,258
2023-01-19,Pune,00:00:00,31,81,993,64,379
2023-01-19,Chennai,01:00:00,39,43,557,19,390
2023-01-19,Pune,02:00:00,24,92,575,55,402
2023-01-19,Mumbai,03:00:00,35,57,1140,53,130
2023-01-19,Goa,04:00:00,28,75,901,47,188
2023-01-19,Ahmedabad,05:00:00,26,57,1037,99,431
2023-01-19,Bangalore,06:00:00,39,31,926,53,217
2023-01-19,Goa,07:00:00,41,46,969,88,229
2023-01-19,Jaipur,08:00:00,33,88,737,15,306
2023-01-19,Delhi,09:00:00,30,81,981,19,459
2023-01-19,Mumbai,10:00:00,26,33,281,46,158
2023-01-19,Bangalore,11:00:00,29,32,557,96,195
2023-01-19,Goa,12:00:00,28,66,384,6,418
2023-01-19,Delhi,13:00:00,23,53,487,22,345
2023-01-19,Chennai,14:00:00,35,64,261,74,244
2023-01-19,Mumbai,15:00:00,29,31,1082,32,409
2023-01-19,Mumbai,16:00:00,38,62,706,39,224
2023-01-19,Chennai,17:00:00,43,39,661,4,121
2023-01-19,Ahmedabad,18:00:00,36,91,229,44,480
2023-01-19,Chennai,19:00:00,28,72,1108,40,452
2023-01-19,Mumbai,20:00:00,32,98,1135,7,471
2023-01-19,Mumbai,21:00:00,20,88,230,80,384
2023-01-19,Goa,22:00:00,21,38,492,81,306
2023-01-19,Pune,23:00:00,32,89,372,49,357
2023-01-20,Delhi,00:00:00,43,92,813,90,397
2023-01-20,Chennai,01:00:00,28,81,327,30,151
2023-01-20,Delhi,02:00:00,26,52,285,3,137
2023-01-20,Chennai,03:00:00,35,59,514,65,486
2023-01-20,Jaipur,04:00:00,38,72,227,55,252
2023-01-20,Mumbai,05:00:00,26,97,321,4,432
2023-01-20,Pune,06:00:00,25,50,450,80,315
2023-01-20,Goa,07:00:00,37,72,772,53,322
2023-01-20,Pune,08:00:00,38,36,602,95,242
2023-01-20,Pune,09:00:00,30,45,882,92,204
2023-01-20,Pune,10:00:00,31,52,642,79,109
2023-01-20,Delhi,11:00:00,29,87,471,0,341
2023-01-20,Chennai,12:00:00,32,60,1036,75,475
2023-01-20,Hyderabad,13:00:00,31,98,1011,82,482
2023-01-20,Jaipur,14:00:00,40,35,312,72,213
2023-01-20,Bangalore,15:00:00,29,94,905,60,332
2023-01-20,Pune,16:00:00,39,88,593,6,168
2023-01-20,Ahmedabad,17:00:00,37,57,1142,29,464
2023-01-20,Delhi,18:00:00,23,47,218,14,143
2023-01-20,Goa,19:00:00,43,39,1051,3,268
2023-01-20,Bangalore,20:00:00,24,36,804,62,310
2023-01-20,Hyderabad,21:00:00,24,66,928,69,375
2023-01-20,Ahmedabad,22:00:00,31,74,664,37,206
2023-01-20,Hyderabad,23:00:00,22,45,890,46,266
